School_code,AgeID,ICSEA_value,Level_of_schooling,Town_suburb,Electorate,School_name,Street,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,Preschool_ind,Distance_education,Intensive_english_centre,School_gender,Late_opening_school,Date_1st_teacher,LGA,Fed_electorate,Operational_directorate,Principal_network,Operational_directorate_office,Operational_directorate_office_phone,Operational_directorate_office_address,FACS_district,Local_health_district,AECG_region,ASGS_remoteness,Latitude,Longitude,Assets unit,SA4,Healthy canteen,Date_extracted
1915,49927,917,Primary School,Fingal Head ,Tweed,Fingal Head Public School,100 Letitia Rd,2487,07 5524 2315,fingalhead-p.school@det.nsw.edu.au,https://fingalhead-p.schools.nsw.gov.au,07 5524 9359,30,57,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,6/1/1913,Tweed (A),Richmond,Rural North,Tweed Coast,Murwillumbah,6670 2300,"Level 2, 12 King St, Murwillumbah 2484",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Major Cities of Australia,-28.196814,153.565122,North Coast,Richmond - Tweed,N,6/10/2022
1920,47599,1078,Primary School,Five Dock ,Drummoyne,Five Dock Public School,Henry St,2046,9713 7044,fivedock-p.school@det.nsw.edu.au,https://fivedock-p.schools.nsw.gov.au,9712 1256,364,3,41,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,N,1861-06-01,Canada Bay (A),Reid,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.866859,151.127318,Sydney,Sydney - Inner West,Y,6/10/2022
1921,51116,1058,Central/Community School,Lord Howe Island ,Port Macquarie,Lord Howe Island Central School,Lagoon Rd,2898,6563 2096,lordhowe-c.school@det.nsw.edu.au,https://lordhowe-c.schools.nsw.gov.au,6563 2238,37,np,41,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,N,1879-07-01,Unincorporated NSW,Sydney,Regional North and West,Hastings,,,,"Murrumbidgee, Far West & Western NSW",Far West,Lower North Coast,Very Remote Australia,-31.530072,159.069032,North Coast,Mid North Coast,N,6/10/2022
1926,51102,945,Primary School,Forbes,Orange,Forbes Public School,Lachlan St,2871,6852 1934,forbes-p.school@det.nsw.edu.au,https://forbes-p.schools.nsw.gov.au,6852 2534,300,28,4,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1862-01-01,Forbes (A),Riverina,Rural South and West,Cowra,Orange,02 6392 8400,"Level 1, 60-62 McNamara Lane, Orange 2800","Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Outer Regional Australia,-33.387948,148.006385,North Western NSW,Central West,N,6/10/2022
1930,50480,973,Primary School,Forest Hill,Wagga Wagga,Forest Hill Public School,Sturt Hwy,2651,6922 7251,foresthill-p.school@det.nsw.edu.au,https://foresthill-p.schools.nsw.gov.au,6922 7858,204,16,4,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1878-02-01,Wagga Wagga (C),Riverina,Rural South and West,Wagga Wagga,Wagga Wagga,02 6937 3800,"Level 4, 76 Morgan St, Wagga Wagga 2650","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-35.147875,147.467,Southern NSW,Riverina,N,6/10/2022
1932,46141,1149,Primary School,Forest Lodge ,Balmain,Forest Lodge Public School,Bridge Rd,2037,9660 3530,forestlodg-p.school@det.nsw.edu.au,https://forestlodg-p.schools.nsw.gov.au,9660 5045,350,2,43,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1883-01-01,Sydney (C),Sydney,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.882169,151.181597,Sydney,Sydney - City and Inner South,Y,6/10/2022
1936,49537,933,Primary School,Forster ,Myall Lakes,Forster Public School,102 Head St,2428,6555 6766,forster-p.school@det.nsw.edu.au,https://forster-p.schools.nsw.gov.au,6555 6374,688,22,5,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1872-02-01,Mid-Coast (A),Lyne,Regional North and West,Great Lakes,,,,Hunter New England & Central Coast,Hunter New England,Manning,Inner Regional Australia,-32.18247,152.524246,North Coast,Mid North Coast,N,6/10/2022
1937,57425,1112,Primary School,Sydney ,Sydney,Fort Street Public School,Observatory Hill,2000,9247 2963,fortstreet-p.school@det.nsw.edu.au,https://fortstreet-p.schools.nsw.gov.au,9241 2397,242,np,82,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1850-04-01,Sydney (C),Sydney,Metropolitan South,Port Jackson,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.860427,151.204871,Sydney,Sydney - City and Inner South,N,6/10/2022
1943,49616,879,Primary School,Frederickton ,Oxley,Frederickton Public School,Great North Rd,2440,6566 8217,frederick-p.school@det.nsw.edu.au,https://frederick-p.schools.nsw.gov.au,6566 8519,141,33,4,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1861-07-01,Kempsey (A),Cowper,Regional North and West,Macleay Valley,,,,Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-31.033583,152.879353,North Coast,Mid North Coast,N,6/10/2022
1944,50742,964,Primary School,FREEMANS REACH,Hawkesbury,Freemans Reach Public School,395 Kurmond Road,2756,4579 6146,freemanrch-p.school@det.nsw.edu.au,https://freemanrch-p.schools.nsw.gov.au,4579 6528,159,9,7,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1867-01-01,Hawkesbury (C),Macquarie,Regional North,Hawkesbury,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763",Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Major Cities of Australia,-33.558697,150.799309,Western Sydney,Sydney - Baulkham Hills and Hawkesbury,N,6/10/2022
1946,47682,1130,Primary School,Frenchs Forest ,Davidson,Frenchs Forest Public School,Ann St,2086,9451 6353,frenchsfor-p.school@det.nsw.edu.au,https://frenchsfor-p.schools.nsw.gov.au,9975 3082,223,0,24,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,9/1/1916,Northern Beaches (A),Mackellar,Metropolitan North,The Forest,Dee Why,9982 0500,"72 Fisher Rd, Dee Why 2099","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.751516,151.224695,Northern Sydney,Sydney - Northern Beaches,N,6/10/2022
1952,48139,1060,Primary School,Galston ,Hornsby,Galston Public School,School Rd,2159,9653 2062,galston-p.school@det.nsw.edu.au,https://galston-p.schools.nsw.gov.au,9653 1980,218,np,13,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1886-07-01,Hornsby (A),Berowra,Regional North,Windsor,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.648197,151.04517,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,N,6/10/2022
1954,50553,862,Primary School,Ganmain,Cootamundra,Ganmain Public School,25-41 Langham St,2702,6927 6421,ganmain-p.school@det.nsw.edu.au,https://ganmain-p.schools.nsw.gov.au,6927 6388,31,42,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1892-02-01,Coolamon (A),Riverina,Rural South and West,Narrandera,Wagga Wagga,02 6937 3800,"Level 4, 76 Morgan St, Wagga Wagga 2650","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.796923,147.040034,Southern NSW,Riverina,N,6/10/2022
1956,49509,940,Primary School,Garah ,Northern Tablelands,Garah Public School,Ashley & Benarba Sts,2405,6754 3218,garah-p.school@det.nsw.edu.au,https://garah-p.schools.nsw.gov.au,6754 3245,14,np,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,Y,1896-07-01,Moree Plains (A),Parkes,Rural North,Barwon,Moree,6757 3000,"66-68 Frome St, Moree 2400",Hunter New England & Central Coast,Hunter New England,North Western 1,Remote Australia,-29.077177,149.634928,North Western NSW,New England and North West,N,6/10/2022
1969,50453,929,Primary School,GEROGERY,Albury,Gerogery Public School,Coach Road,2642,6026 0514,gerogery-p.school@det.nsw.edu.au,https://gerogery-p.schools.nsw.gov.au,6026 0676,19,np,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1884-02-01,Greater Hume Shire (A),Farrer,Rural South and West,Hume,Albury,02 6051 4300,"521 Macauley St, Albury 2640","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-35.83213,146.998143,Southern NSW,Murray,N,6/10/2022
1971,50050,1077,Primary School,Gerringong ,Kiama,Gerringong Public School,Archibald Rd,2534,4234 1376,gerringong-p.school@det.nsw.edu.au,https://gerringong-p.schools.nsw.gov.au,4234 2749,413,4,6,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1876-03-01,Kiama (A),Gilmore,Regional South,Shoalhaven,Warilla,4267 6100,"30 Oldfield St, Warilla 2528",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Inner Regional Australia,-34.749384,150.821499,Southern NSW,Illawarra,N,6/10/2022
1972,51049,951,Primary School,GEURIE,Dubbo,Geurie Public School,Narragal Street,2818,6887 1107,geurie-p.school@det.nsw.edu.au,https://geurie-p.schools.nsw.gov.au,6887 1438,27,26,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1886-10-01,Dubbo Regional (A),Calare,Regional North and West,Wambuul-Macquarie,,,,"Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Outer Regional Australia,-32.3961,148.82945,North Western NSW,Far West and Orana,N,6/10/2022
1974,49329,829,Primary School,Sandy Hollow,Upper Hunter,Sandy Hollow Public School,1581 Golden Highway,2333,6547 4521,sandyhollo-p.school@det.nsw.edu.au,https://sandyhollo-p.schools.nsw.gov.au,6547 4450,22,32,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1877-04-01,Muswellbrook (A),Hunter,Regional North and West,Upper Hunter,,,,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.336471,150.569007,Hunter/Central Coast,Hunter Valley exc Newcastle,N,6/10/2022
1978,49399,912,Primary School,Gilgai ,Northern Tablelands,Gilgai Public School,Woodford Pl,2360,6723 1309,gilgai-p.school@det.nsw.edu.au,https://gilgai-p.schools.nsw.gov.au,6723 1481,53,23,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1878-07-01,Inverell (A),New England,Rural North,Namoi,Moree,6757 3000,"66-68 Frome St, Moree 2400",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-29.852694,151.115555,North Western NSW,New England and North West,N,6/10/2022
1979,51037,815,Primary School,Gilgandra ,Barwon,Gilgandra Public School,Wrigley St,2827,6847 2043,gilgandra-p.school@det.nsw.edu.au,https://gilgandra-p.schools.nsw.gov.au,6847 2304,208,52,6,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1877-05-01,Gilgandra (A),Parkes,Regional North and West,Mudgee,,,,"Murrumbidgee, Far West & Western NSW",Western NSW,North Western 1,Outer Regional Australia,-31.707981,148.66464,North Western NSW,Far West and Orana,N,6/10/2022
1982,49170,933,Primary School,Gillieston Heights ,Maitland,Gillieston Public School,Cnr Gillieston & Ryan Roads,2321,4932 7542,gillieston-p.school@det.nsw.edu.au,https://gillieston-p.schools.nsw.gov.au,4932 5950,258,15,8,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1858-04-01,Maitland (C),Paterson,Regional North and West,Maitland,,,,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.75232,151.530713,Hunter/Central Coast,Hunter Valley exc Newcastle,N,6/10/2022
1986,51050,1026,Primary School,Girilambone ,Barwon,Girilambone Public School,Vega St,2831,02 6833 1039,girilambon-p.admin@det.nsw.edu.au,https://girilambon-p.schools.nsw.gov.au,02 6833 1037,17,np,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,Y,1897-07-01,Bogan (A),Parkes,Rural South and West,Mitchell,Dubbo,02 6883 6300,"Level 2, 37 Carrington Ave, Dubbo 2830","Murrumbidgee, Far West & Western NSW",Western NSW,Western 2,Remote Australia,-31.24967,146.908851,North Western NSW,Far West and Orana,N,6/10/2022
4572,56220,1149,Primary School,Cherrybrook ,Epping,John Purchase Public School,Purchase Rd,2126,9875 3100,johnpurch-p.school@det.nsw.edu.au,https://johnpurch-p.schools.nsw.gov.au,9875 3762,641,np,78,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1/1/1986,Hornsby (A),Berowra,Metropolitan North,The Hills,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.718798,151.038895,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,N,6/10/2022
1990,44419,1122,Primary School,Gladesville ,Lane Cove,Gladesville Public School,Victoria Rd,2111,9817 2388,gladesvill-p.school@det.nsw.edu.au,https://gladesvill-p.schools.nsw.gov.au,9817 3209,471,np,47,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1879-04-01,Ryde (C),Bennelong,Metropolitan North,Ryde,MacPark,9886 7000,"Level 2, 75 Talavera Rd, Macquarie Park 2113","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.832977,151.125699,Northern Sydney,Sydney - Ryde,N,6/10/2022
1991,49618,895,Primary School,Gladstone ,Oxley,Gladstone Public School,13 Kinchela St,2440,6567 4253,gladstone-p.school@det.nsw.edu.au,https://gladstone-p.schools.nsw.gov.au,6567 4694,23,26,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1877-02-01,Kempsey (A),Cowper,Regional North and West,Macleay Valley,,,,Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Outer Regional Australia,-31.026485,152.946508,North Coast,Mid North Coast,N,6/10/2022
1992,46145,961,Primary School,Windang ,Wollongong,Windang Public School,Oakland Ave,2528,4295 1852,windang-p.school@det.nsw.edu.au,https://windang-p.schools.nsw.gov.au,4297 2806,158,19,9,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1/1/1942,Wollongong (C),Whitlam,Regional South,Lake Illawarra South,Warilla,4267 6100,"30 Oldfield St, Warilla 2528",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.531496,150.86597,Southern NSW,Illawarra,N,6/10/2022
1994,50832,1110,Primary School,Glenbrook ,Penrith,Glenbrook Public School,Woodville St,2773,4739 1288,glenbrook-p.school@det.nsw.edu.au,https://glenbrook-p.schools.nsw.gov.au,4739 8361,325,2,13,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1892-04-01,Blue Mountains (C),Macquarie,Metropolitan South and West,Penrith,,,,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Major Cities of Australia,-33.765996,150.621286,Western Sydney,Sydney - Outer West and Blue Mountains,N,6/10/2022
2001,48521,1058,Primary School,Glenfield ,Macquarie Fields,Glenfield Public School,Railway Pde,2167,9605 1540,glenfield-p.school@det.nsw.edu.au,https://glenfield-p.schools.nsw.gov.au,9829 3128,453,2,85,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1882-04-01,Campbelltown (C),Werriwa,Metropolitan South and West,Glenfield,,,,South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.971005,150.896584,South Western Sydney,Sydney - Outer South West,N,6/10/2022
4496,45515,1106,Primary School,Dulwich Hill ,Summer Hill,Dulwich Hill Public School,Kintore St,2203,9559 2699,dulwichhil-p.school@det.nsw.edu.au,https://dulwichhil-p.schools.nsw.gov.au,9559 5676,440,4,42,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1885-01-01,Inner West (A),Grayndler,Metropolitan South,Canterbury,Arncliffe,9582 2800,"Cnr Segenhoe & Avenal St, Arncliffe 2205","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.906163,151.140287,Sydney,Sydney - Inner West,N,6/10/2022
2005,49420,900,Primary School,Glen Innes ,Northern Tablelands,Glen Innes Public School,Church St,2370,6732 2577,gleninnes-p.school@det.nsw.edu.au,https://gleninnes-p.schools.nsw.gov.au,6732 1804,398,24,4,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1863-07-01,Glen Innes Severn (A),New England,Rural North,Northern Tablelands,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-29.735142,151.740989,North Western NSW,New England and North West,N,6/10/2022
2009,45334,1169,Primary School,Paddington ,Sydney,Glenmore Road Public School,Glenmore Rd,2021,9360 4880,glenmorerd-p.school@det.nsw.edu.au,http://www.glenmorerd-p.schools.nsw.edu.au,9361 4284,397,np,23,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1883-06-01,Woollahra (A),Wentworth,Metropolitan South,Port Jackson,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.881385,151.230233,Sydney,Sydney - Eastern Suburbs,N,6/10/2022
2012,56231,1050,Primary School,Glenorie ,Hawkesbury,Glenorie Public School,Old Northern Rd,2157,9652 1237,glenorie-p.school@det.nsw.edu.au,https://glenorie-p.schools.nsw.gov.au,9652 2538,291,np,15,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1888-03-01,Hornsby (A),Berowra,Regional North,Windsor,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Inner Regional Australia,-33.599444,151.008082,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,N,6/10/2022
2015,50241,1028,Primary School,Glenquarry ,Wollondilly,Glenquarry Public School,Tourist Rd,2576,4887 1205,glenquarry-p.school@det.nsw.edu.au,https://glenquarry-p.schools.nsw.gov.au,4887 1353,12,np,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1869-01-01,Wingecarribee (A),Whitlam,Regional South,Wollondilly,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.522335,150.483539,Southern NSW,Southern Highlands and Shoalhaven,N,6/10/2022
2016,49657,903,Primary School,Glenreagh ,Clarence,Glenreagh Public School,Bridge & George Sts,2450,6649 2133,glenreagh-p.school@det.nsw.edu.au,https://glenreagh-p.schools.nsw.gov.au,6649 2209,61,21,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1887-11-01,Clarence Valley (A),Page,Regional North and West,Coffs Harbour,,,,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Outer Regional Australia,-30.053582,152.976339,North Coast,Coffs Harbour - Grafton,N,6/10/2022
2020,49172,893,Primary School,Clarence Town ,Upper Hunter,Glen William Public School,Glen William & Dungog Rds,2321,4996 5507,glenwillia-p.school@det.nsw.edu.au,https://glenwillia-p.schools.nsw.gov.au,4996 5541,32,41,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1849-09-01,Dungog (A),Lyne,Regional North and West,Hunter,,,,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.525391,151.79794,Hunter/Central Coast,Hunter Valley exc Newcastle,N,6/10/2022
2021,50744,975,Primary School,Glossodia ,Hawkesbury,Glossodia Public School,Golden Valley Drive,2756,4576 6099,glossodia-p.school@det.nsw.edu.au,https://glossodia-p.schools.nsw.gov.au,4576 6079,202,6,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1898-04-01,Hawkesbury (C),Macquarie,Regional North,Hawkesbury,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763",Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Inner Regional Australia,-33.530504,150.765471,Western Sydney,Sydney - Baulkham Hills and Hawkesbury,N,6/10/2022
2027,50680,1021,Primary School,Gol Gol ,Murray,Gol Gol Public School,William St,2738,03 5024 8401,golgol-p.school@det.nsw.edu.au,https://golgol-p.schools.nsw.gov.au,03 5024 8627,180,np,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,Y,1882-05-01,Wentworth (A),Farrer,Rural South and West,Far West,Broken Hill,08 8082 5700,"1A Wentworth Rd, Broken Hill 2880","Murrumbidgee, Far West & Western NSW",Far West,Riverina 3,Outer Regional Australia,-34.179608,142.222652,North Western NSW,Murray,N,6/10/2022
2033,46406,725,Central/Community School,GOODOOGA,Barwon,Goodooga Central School,31 Doyle Street,2838,6829 6257,goodooga-c.school@det.nsw.edu.au,https://goodooga-c.schools.nsw.gov.au,6829 6294,31,97,94,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,Y,1882-01-01,Brewarrina (A),Parkes,Rural North,Western Plains,Tamworth,6755 5000,"Level 3, Noel Park House, 155-157 Marius St, Tamworth 2340","Murrumbidgee, Far West & Western NSW",Western NSW,North Western 1,Very Remote Australia,-29.115865,147.455532,North Western NSW,Far West and Orana,N,6/10/2022
2035,50496,993,Primary School,Goolgowi ,Murray,Goolgowi Public School,Penney St,2652,6965 1207,goolgowi-p.school@det.nsw.edu.au,https://goolgowi-p.schools.nsw.gov.au,6965 1309,33,np,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,Y,10/1/1927,Carrathool (A),Farrer,Rural South and West,Griffith,Griffith,02 6961 8100,"Government Offices, 104-110 Banna Ave, Griffith 2680","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 2,Outer Regional Australia,-33.97571,145.709221,Southern NSW,Riverina,N,6/10/2022
2036,51084,,Primary School,Goolma ,Dubbo,Goolma Public School,Gollan Rd,2852,6374 0272,goolma-p.school@det.nsw.edu.au,https://goolma-p.schools.nsw.gov.au,6374 0271,11,np,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1875-11-01,Mid-Western Regional (A),Calare,Regional North and West,Mudgee,,,,"Murrumbidgee, Far West & Western NSW",Western NSW,North Western 1,Outer Regional Australia,-32.3688,149.26901,North Western NSW,Central West,N,6/10/2022
2037,49800,1033,Primary School,Goolmangar ,Lismore,Goolmangar Public School,Nimbin Rd,2480,6689 9262,goolmangar-p.school@det.nsw.edu.au,https://goolmangar-p.schools.nsw.gov.au,6689 9334,12,np,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1882-03-01,Lismore (C),Page,Rural North,Richmond,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.709747,153.23169,North Coast,Richmond - Tweed,N,6/10/2022
2038,56308,1008,Primary School,Gooloogong ,Cootamundra,Gooloogong Public School,King St,2805,6344 8307,gooloogong-p.school@det.nsw.edu.au,https://gooloogong-p.schools.nsw.gov.au,6344 8349,24,0,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1869-05-01,Cowra (A),Riverina,Rural South and West,Cowra,Orange,02 6392 8400,"Level 1, 60-62 McNamara Lane, Orange 2800","Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Outer Regional Australia,-33.617104,148.436422,North Western NSW,Central West,N,6/10/2022
2041,49803,829,Primary School,Goonellabah,Lismore,Goonellabah Public School,595 Ballina Road,2480,6624 1444,goonellaba-p.school@det.nsw.edu.au,https://goonellaba-p.schools.nsw.gov.au,6625 1072,240,46,6,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1879-09-01,Lismore (C),Page,Rural North,Lismore,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.818329,153.322306,North Coast,Richmond - Tweed,N,6/10/2022
2042,49805,1020,Primary School,GOONENGERRY,Ballina,Goonengerry Public School,Goonengerry Road,2482,02 6684 9134,goonengerr-p.school@det.nsw.edu.au,https://goonengerr-p.schools.nsw.gov.au,02 6684 9283,52,np,17,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1899-01-01,Byron (A),Richmond,Rural North,Wollumbin,Murwillumbah,6670 2300,"Level 2, 12 King St, Murwillumbah 2484",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.609512,153.439753,North Coast,Richmond - Tweed,N,6/10/2022
2049,48679,1083,Primary School,West Gosford,Gosford,Gosford Public School,Faunce St West,2250,4349 3600,gosford-p.school@det.nsw.edu.au,https://gosford-p.schools.nsw.gov.au,4349 3699,518,5,47,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1865-02-01,Central Coast (C),Robertson,Regional North,Mooney Mooney,,,,Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.42075,151.33449,Hunter/Central Coast,Central Coast,N,6/10/2022
2053,50257,875,Primary School,Goulburn ,Goulburn,Goulburn Public School,Bourke St,2580,4821 2827,goulburn-p.school@det.nsw.edu.au,https://goulburn-p.schools.nsw.gov.au,4822 1395,166,20,16,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1858-07-01,Goulburn Mulwaree (A),Hume,Regional South,Goulburn,Campbelltown,4633 2700,"Cnr Lindesay & Lithgow Streets, Campelltown 2560",Illawarra Shoalhaven & Southern NSW,Southern NSW,Upper South Coast,Inner Regional Australia,-34.750563,149.717773,Southern NSW,Capital Region,N,6/10/2022
2054,50254,988,Primary School,Goulburn ,Goulburn,Goulburn East Public School,Eleanor St,2580,4821 4007,goulburne-p.school@det.nsw.edu.au,https://goulburne-p.schools.nsw.gov.au,4822 1381,147,7,10,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1887-08-01,Goulburn Mulwaree (A),Hume,Regional South,Goulburn,Campbelltown,4633 2700,"Cnr Lindesay & Lithgow Streets, Campelltown 2560",Illawarra Shoalhaven & Southern NSW,Southern NSW,Upper South Coast,Inner Regional Australia,-34.7626,149.730388,Southern NSW,Capital Region,N,6/10/2022
